0,1,2,3,4
0.166666667,1,0.25,0.457627119,0.384657801
0.166666667,1,0.375,0.440677966,0.422320408
0.166666667,1,0.5,0.406779661,0.426026648
0.166666667,1,0.625,0.406779661,0.48310515
0.166666667,1,0.75,0.355932203,0.469221626
0.166666667,1,1,0.288135593,0.465021381
0.333333333,0,1,0.220338983,0.371446349
0.333333333,0.25,0,0.423728814,0.248721665
0.333333333,0.25,1,0.220338983,0.371446349
0.333333333,0.5,0,0.474576271,0.295126026
0.333333333,0.5,1,0.237288136,0.394854976
0.333333333,0.75,0,0.474576271,0.295126026
0.333333333,0.75,1,0.271186441,0.441642492
0.333333333,1,0,0.491525424,0.310580974
0.333333333,1,1,0.254237288,0.41825369
0.416666667,0,1,0.152542373,0.277712716
0.416666667,0.25,0,0.423728814,0.248721665
0.416666667,0.25,1,0.237288136,0.394854976
0.416666667,0.5,0,0.389830508,0.217429759
0.416666667,0.5,1,0.254237288,0.417847273
0.416666667,0.75,0,0.508474576,0.325660498
0.416666667,0.75,1,0.288135593,0.464595139
0.416666667,1,0,0.593220339,0.402770577
0.416666667,1,1,0.322033898,0.511303354
0.5,0,1,0.152542373,0.277365775
0.5,0.25,0,0.491525424,0.310218723
0.5,0.25,1,0.288135593,0.464595139
0.5,0.5,0,0.593220339,0.402770577
0.5,0.5,1,0.338983051,0.534642592
0.5,0.75,0,0.677966102,0.479715996
0.5,0.75,1,0.389830508,0.604600832
0.5,1,0,0.694915254,0.495085321
0.5,1,1,0.440677966,0.674469859
0.583333333,0,1,0.288135593,0.464595139
0.583333333,0.25,0,0.559322034,0.371946304
0.583333333,0.25,1,0.322033898,0.511303354
0.583333333,0.5,0,0.593220339,0.403574116
0.583333333,0.5,1,0.355932203,0.558903703
0.583333333,0.75,0,0.644067797,0.449800645
0.583333333,0.75,1,0.372881356,0.582242942
0.583333333,1,0,0.694915254,0.495967897
0.583333333,1,1,0.389830508,0.605572268
0.666666667,0,1,0.254237288,0.418660107
0.666666667,0.25,0,0.491525424,0.310943225
0.666666667,0.25,1,0.237288136,0.395251481
0.666666667,0.5,0,0.508474576,0.326398173
0.666666667,0.5,1,0.220338983,0.371832941
0.666666667,0.75,0,0.593220339,0.403574116
0.666666667,0.75,1,0.271186441,0.442058822
0.666666667,1,0,0.677966102,0.480585399
